run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,selective-passage-share,partial-closure-share,contested-reopening-share,ever-selective-passage
128,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3178600462756143,1,0,0.98,116.41719558827474,Selective_Passage,0,0,0,0,0.4191864863561734,46.41719558827474,0.9863110089083913,0.2578664545366746,52.000134566888256,0.5000000000000002,51.500134566888256,6.777251971484695,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0,0.023704203279869156,0,-1,0,0,-1,15,-1,-1,-1,-1,-1,-1,1,2,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
129,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3013529352575476,1,0.9661112887191382,0.98,110.70418832279043,Selective_Passage,0,0,0,0,0.36531843837822764,40.70418832279042,0.9693784165628692,0.19449228044497371,44.076155472299874,10.19,33.886155472299876,-8.52254106311318,0.25,0.2,0,0,0,0.02666666666666667,4,-1,0,0,0,1,2,1,0.47297297297297297,0.4852941176470588,0.2632849182998281,1,29,0,0,13,30,-1,-1,42,17,-1,-1,2.5,1,1,0,0,0,0,0.9533333333333334,0.04666666666666667,0,1
130,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2943322802771962,0.9507722794236068,0.7899031056319723,0.97,123.05162582998898,Ground_War,1,0,0,1,0.5468221101661213,53.05162582998898,1,0.4080260119601427,53.45341055181612,0,53.45341055181612,0.535712962436186,0.25,0.2,0,0,0,0.07142857142857142,1,-1,0,0,1,0,3,0,0.18181818181818182,0.15384615384615385,0.009989072433539479,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,0.5,0.5,0,1
131,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.26589136544253256,0.47799866822057174,0.70923734987151,0.97,119.80242105790643,Ground_War,1,0,0,1,0.6099922600515364,49.80242105790643,0.990732261068295,0.4823438353547487,57.36965067933706,0.4,56.969650679337065,9.556306161907514,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,0,1,4,2,0.14285714285714285,0,0.006971030782781359,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.6666666666666666,1,0,0,0,0,0.5555555555555556,0.4444444444444444,0,1
132,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.279773243998822,0.9089532625995734,0.5948155380280455,0.8903199999999999,119.46644370100705,Accidental_War,0,1,0,1,0.554500303773437,49.46644370100706,1,0.41705918090992583,54.31580417645203,0.8,53.515804176452036,5.399147300593306,0.25,0.30000000000000004,0,1,0,0.18181818181818182,2,1,0,0,0,1,2,2,0.125,0.1,0.06241076666308716,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0.6666666666666666,1,0,0,0,0,0.36363636363636365,0.6363636363636364,0,1
133,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,126,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,1,0,0,0,56,0.9841269841269841,0.015873015873015872,0,0,0.015873015873015872,0.2150000000000002,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.30159167096390627,0.9873131871615287,0.0895890099398904,0.9199999999999999,116.23319036199743,Ground_War,1,0,0,1,0.3971466644549658,46.23319036199744,1,0.23193725229995976,52.929270696546766,1,51.929270696546766,7.594773779399105,0.25,0.1,0,0,0,0,0,-1,0,0,0,1,1,2,0.4796747967479675,0.453125,0.0038065931229728585,0,-1,0,0,61,23,-1,-1,-1,-38,-1,-1,2.5,2,1,0,0,0,0,0.9761904761904762,0.023809523809523808,0,1
134,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,116.20191965940546,Selective_Passage,0,0,0,0,0.42060498661881035,46.20191965940547,1,0.259535278375071,46.71818872,0,46.71818872,0.6883587474593753,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,1,0,0.4864864864864865,0.49107142857142855,0.0353803047600395,0,-1,0,0,37,14,-1,-1,-1,-23,-1,-1,1,2,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
135,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,121,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3171607753751219,1,0,0.97,113.9360618600715,Ground_War,1,0,0,1,0.40260582333152145,43.936061860071504,0.9746805005442933,0.2383597921547311,51.88528564099412,0.8,51.08528564099412,9.532298374563496,0.25,0.2,0,0,0,0.008264462809917356,1,-1,0,0,0,1,1,2,0.4369747899159664,0.46236559139784944,0.12181738632033215,1,3,0,0,27,24,-1,-1,30,-3,-1,-1,2.5,1,1,0,0,0,0,0.9586776859504132,0.04132231404958678,0,1
136,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10500000000000001,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31466955820723275,1,0,0.97,112.03809065783553,Selective_Passage,0,0,0,0,0.39405141643390607,42.038090657835525,0.9969537389382673,0.22829578403988945,49.46610491813074,1.3000000000000003,48.16610491813074,8.170685680393618,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.46621621621621623,0.4700854700854701,0.13765185213459563,1,0,0,0,32,16,-1,-1,32,-16,-1,-1,1,1,1,0,0,0,0,0.9733333333333334,0.02666666666666667,0,1
137,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14000000000000004,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2945649948488885,1,0.9320809824142421,0.97,110.50168798125421,Selective_Passage,0,0,0,0,0.3782835896489146,40.501687981254214,1,0.20974539958695837,47.54827021634669,10.1,37.448270216346685,-4.362025378439327,0.25,0.30000000000000004,0,1,0,0.03333333333333333,5,141,0,0,0,1,2,1,0.44594594594594594,0.4429530201342282,0.2904758158162399,1,42,0,0,0,42,-1,-1,42,42,-1,-1,2.5,0.6666666666666666,1,0,0,0,0,0.94,0.06,0,1
138,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3047014472778152,1,0.023806921185248173,0.9199999999999999,111.15397775175178,Selective_Passage,0,0,0,0,0.403022520060048,41.15397775175178,0.9921499782327159,0.2388500236000565,49.825198944417444,0.8,49.02519894441745,10.494961590220889,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,1,0,1,0,0.4527027027027027,0.49122807017543857,0.21061938743513986,1,-74,0,0,92,16,-1,-1,18,-76,-1,-1,1,0.6666666666666666,1,0,0,0,0,0.9666666666666667,0.03333333333333333,0,1
139,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3148708621755992,1,0.06489697292021368,0.97,114.23253559018963,Selective_Passage,0,0,0,0,0.37094361523958824,44.23253559018963,1,0.20111013557598617,43.89542378862484,10.09,33.805423788624836,-11.585679779516433,0.25,0.1,0,0,0,0.013333333333333334,2,-1,0,0,0,1,1,1,0.4965986394557823,0.4899328859060403,0.1617902612307688,1,97,0,0,0,37,-1,-1,97,37,-1,-1,2.5,2,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
140,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,81,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08500000000000002,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31457944456240605,1,0,0.97,115.7252552166974,Ground_War,1,0,0,1,0.40920098975977537,45.7252552166974,0.9977594184750203,0.24611881148208864,52.2798801174692,0.9,51.3798801174692,7.539499867695731,0.25,0.1,0,0,0,0,0,-1,0,0,0,1,1,2,0.4936708860759494,0.5,0.008002311574010872,0,-1,0,0,24,12,-1,-1,-1,-12,-1,-1,1,2,1,0,0,0,0,0.9629629629629629,0.037037037037037035,0,1
141,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,13,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3055274806699866,0.9013239110601887,0.4598160216736559,0.9099999999999999,113.78461150158496,Ground_War,1,0,0,1,0.5454253965006302,43.78461150158496,0.8260249282174356,0.406382819412506,53.92261145539564,0.8,53.12261145539564,12.450666605080912,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,2,2,0.2,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,0,0,0,0.9230769230769231,0.07692307692307693,0,1
142,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15500000000000003,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3189928413072943,1,0,0.98,114.35464774208745,Selective_Passage,0,0,0,0,0.4086804625006693,44.35464774208745,0.9761830224295983,0.24550642647137566,46.22697014322067,0.20000000000000004,46.026970143220666,2.2297632015109485,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.5135135135135135,0.5203252032520326,0.04570055279139403,1,1,0,0,26,12,-1,-1,27,-14,-1,-1,1,1,1,0,0,0,0,0.98,0.02,0,1
143,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,75,0.9533333333333334,0.04666666666666667,0,0,0.04666666666666667,0.3,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33734282118308845,1,0,0.97,106.07496185207216,Selective_Passage,0,0,0,0,0.3795629273907174,36.07496185207217,0.8126118370500772,0.2112505028126087,40.62798828973125,10.19,30.43798828973125,-8.052819374772746,0.25,0.30000000000000004,0,0,0,0.006666666666666667,1,-1,0,0,0,1,1,1,0.47297297297297297,0.48360655737704916,0.2788402506683683,1,0,0,0,27,24,-1,-1,27,-3,-1,-1,2.5,0.6666666666666666,1,0,0,0,0,0.9666666666666667,0.03333333333333333,0,1
144,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,28,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3192772089097944,1,0,0.98,111.86625583303844,Ground_War,1,0,0,1,0.4019211759759962,41.86625583303844,0.9736405755150346,0.23755432467764256,51.78350036217506,0.4,51.38350036217506,12.689659372182163,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,0,1,1,2,0.38461538461538464,0,0.10262999136041122,0,-1,0,0,-1,14,-1,-1,-1,-1,-1,-1,1,0.6666666666666666,1,0,0,0,0,0.8928571428571429,0.10714285714285714,0,1
145,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,127,0.9266666666666666,0.07333333333333333,0,0,0.07333333333333333,0.3,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.3121971937770105,1,0.40235227862348916,0.97,112.15291505272009,Selective_Passage,0,0,0,0,0.3689519489118134,42.15291505272009,0.9597845193585627,0.19876699871978043,43.50904590141174,11.690000000000001,31.819045901411737,-11.482076834787055,0.25,0.1,0,1,0,0.02,3,127,0,0,0,1,1,1,0.5067567567567568,0.49056603773584906,0.2252960670372891,1,31,0,0,96,30,-1,-1,127,-66,-1,-1,2.5,2,1,0,0,0,0,0.98,0.02,0,1
146,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32468136295820027,1,0,0.97,112.14388801294896,Selective_Passage,0,0,0,0,0.3414829045278615,42.143888012948956,0.9769055352941532,0.16645047591513118,43.19701139340309,10.76,32.43701139340309,-10.78541846616207,0.25,0.1,0,0,0,0,0,-1,0,0,0,1,1,2,0.46258503401360546,0.4666666666666667,0.14220741806144463,0,-1,0,0,59,15,-1,-1,-1,-44,-1,-1,1,2,1,0,0,0,0,0.9533333333333334,0.04666666666666667,0,1
147,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3137167768793233,1,0.17474175616618767,0.97,112.98970581520975,Selective_Passage,0,0,0,0,0.39371725272596847,42.989705815209746,0.9894312475455986,0.22790265026584527,43.81284284063384,10.09,33.722842840633845,-11.583578718219876,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4527027027027027,0.4722222222222222,0.1494672528190568,1,-47,0,0,77,29,-1,-1,30,-48,-1,-1,2.5,1,1,0,0,0,0,0.9933333333333333,0.006666666666666667,0,1
148,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31760744447168404,1,0,0.97,109.09890453757549,Selective_Passage,0,0,0,0,0.36228441149167834,39.09890453757549,0.9706869638108504,0.19092283704903332,46.217005683443816,10.25,35.967005683443816,-3.9148735676645927,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4797297297297297,0.5,0.12643970623965986,0,-1,0,0,35,16,-1,-1,-1,-19,-1,-1,1,1,1,0,0,0,0,0.9933333333333333,0.006666666666666667,0,1
149,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,49,0.72,0.28,0,0,0.28,0.31,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3018504472889548,0.9797191628094475,0.10283040864735102,0.9099999999999999,109.56754964396238,Selective_Passage,0,0,0,0,0.37567592678778694,39.56754964396238,0.9728146275150239,0.2066775609268081,47.026867618193506,0.9,46.12686761819351,8.745757298974837,0.25,0.30000000000000004,0,1,0,0.04666666666666667,7,43,0,0,1,0,1,0,0.5135135135135135,0.5177304964539007,0.2104104556368915,1,21,0,0,8,29,-1,-1,29,21,-1,-1,2.5,0.6666666666666666,1,0,0,0,0,0.96,0.04,0,1
150,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,13,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3026986313578683,0.9783474581757431,0.5754552802805685,0.98,116.57171078423242,Accidental_War,0,1,0,1,0.5050224746156233,46.57171078423242,1,0.3588499701360275,55.73657273391507,0.4,55.33657273391507,11.686482599576863,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,0,1,2,2,0.2727272727272727,0,0.09064717639001442,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0.6666666666666666,1,0,0,0,0,0.5384615384615384,0.46153846153846156,0,1
151,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3173116042330438,1,0.004526749254035969,0.97,113.62672923564799,Selective_Passage,0,0,0,0,0.3784047997528669,43.626729235647986,0.9724738088814616,0.20988799970925512,46.25158785234229,10.1,36.15158785234229,-8.305712648117442,0.25,0.1,0,0,0,0,0,-1,0,0,0,1,1,1,0.5,0.5263157894736842,0.10241298258579686,0,-1,0,0,92,36,-1,-1,-1,-56,-1,-1,2.5,2,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
152,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,16,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31953927601137067,1,0,0.97,116.67783991239112,Ground_War,1,0,0,1,0.4610751194089042,46.67783991239112,0.9534150274357102,0.3071471993045932,51.52169674772524,0.4000000000000001,51.12169674772524,5.925142447112151,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,2,0,0.35714285714285715,0,0.002072796827974446,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,0,0,0,0.6875,0.3125,0,1
153,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10500000000000001,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.328288450757643,1,0,0.98,111.01613725761248,Selective_Passage,0,0,0,0,0.36410100442423154,41.01613725761248,0.8930737182815692,0.1930600052049783,44.80599917487046,0.5000000000000002,44.30599917487046,4.386482556343971,0.25,0.2,0,0,0,0.02,3,-1,0,0,1,0,1,0,0.4864864864864865,0.48322147651006714,0.21331777453770812,1,32,0,0,0,32,-1,-1,32,32,-1,-1,2.5,1,1,0,0,0,0,0.9666666666666667,0.03333333333333333,0,1
154,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,54,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07500000000000001,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3251491109620109,1,0,0.98,114.54108197185312,Ground_War,1,0,0,1,0.43198408921777603,44.54108197185312,0.9211416300514016,0.2729224579032659,50.88589355223293,0.15000000000000013,50.73589355223293,8.259748773839753,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.47058823529411764,0.2857142857142857,0.012542003165912741,0,-1,0,0,46,20,-1,-1,-1,-26,-1,-1,1,1,1,0,0,0,0,0.9444444444444444,0.05555555555555555,0,1
155,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,16,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24803705205148743,0.3165203136594624,1,0.97,123.37528047214013,Ground_War,1,0,0,1,0.5657076712917181,53.375280472140126,1,0.4302443191667271,60.54318485486728,0.4,60.14318485486728,9.023872510302873,0.25,0.30000000000000004,0,0,0,0.0625,1,-1,0,0,0,1,4,2,0.21428571428571427,0.2,0.017217736097376143,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.5,0.6666666666666666,1,0,1,0,1,0.5625,0.4375,0,1
156,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Selective_Economic_Pressure,Selective_Passage,Backchannel_Bargaining,1,1,0,0,109,0.7333333333333333,0.26,0.006666666666666667,0,0.26666666666666666,0.4500000000000001,Active_Military_War | Selective_Economic_Pressure | Selective_Passage | Backchannel_Bargaining,0.4260820548071467,1,0,0.97,89.97543651719833,Selective_Passage,0,0,0,0,0.37230208654801034,19.975436517198336,8.47446470686658e-4,0.20270833711530625,32.435062034336354,4.900000000000001,27.535062034336352,10.079500689517356,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0.49606299212598426,0.5616829647633355,1,0,0,1,22,13,-1,92,22,-9,-1,70,1,0.6666666666666666,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
157,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2945368562036021,1,0.9334080266175213,0.97,115.77965109670144,Selective_Passage,0,0,0,0,0.38432005652616835,45.77965109670144,1,0.21684712532490394,47.54945203944871,0.8,46.74945203944871,1.293067923663024,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,2,0,0.5,0,0.05130665110705541,0,-1,0,0,-1,24,-1,-1,-1,-1,-1,-1,2.5,2,1,0,0,0,0,0.9733333333333334,0.02666666666666667,0,1
158,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,71,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31432884,1,0,0.97,116.10942753466756,Ground_War,1,0,0,1,0.4066475768936446,46.10942753466756,1,0.24311479634546426,52.31818872,0.10000000000000002,52.21818872,8.145014913776585,0.25,0.1,0,0,0,0.014084507042253521,1,-1,0,0,1,0,1,0,0.5072463768115942,0.5,0.12274117983930283,1,51,0,0,0,16,-1,-1,51,16,-1,-1,1,2,1,0,0,0,0,0.9014084507042254,0.09859154929577464,0,1
159,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10000000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3178697343326952,1,0.036773187147937175,0.97,110.24691176700121,Selective_Passage,0,0,0,0,0.3790551617464396,40.24691176700121,0.9786829698708285,0.21065313146639955,43.50513998442507,10.19,33.31513998442507,-8.664714728220169,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.44594594594594594,0.39285714285714285,0.09943081169337635,1,-84,0,0,121,25,-1,-1,37,-96,-1,-1,2.5,1,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
