run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-severe-escalation,outcome-managed-stalemate,ever-managed-stalemate,ms-share,ms-duration,first-managed-stalemate-tick,military-deescalation-window-flag,awrp-current,risk-premium,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
164,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1300000000000001,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2932507576133017,1,0.9940616103894693,0.97,113.5908551803685,Selective_Passage,0,0,1,0.02666666666666667,4,132,0,0.3825689077049883,43.5908551803685,2.5,1,1,0,1,0,0
165,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,54,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.29873612585596204,1,0.7353666357309017,0.97,118.23863103019701,Ground_War,1,0,1,0.037037037037037035,2,16,0,0.419858462750479,48.23863103019701,2.5,1,1,0,0,0,0
166,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.17000000000000015,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31621561996644926,1,0,0.97,114.90405963160273,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.39597696128097953,44.90405963160273,2.5,1,1,0,0,0,0
167,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11500000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33134057091472585,1,0,0.97,107.51375125982334,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.36795304191811334,37.51375125982334,2.5,1,1,0,0,0,0
168,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29356743445006306,1,0.9791268416306815,0.97,113.55654306537107,Selective_Passage,0,0,0,0.02,3,-1,0,0.37922191201840383,43.55654306537108,2.5,1,1,0,0,0,0
169,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.095,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.316974574679046,1,0,0.97,111.91843947119649,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.37611181939517263,41.91843947119649,2.5,1,1,0,0,0,0
170,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3213618506708233,1,0.24247757883871104,0.97,112.19379123306678,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.373752110709512,42.193791233066776,2.5,1,1,0,0,0,0
171,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24964475434590602,0.2897048928423621,0.9981510714461161,0.98,121.97796764063284,Ground_War,1,0,0,0,0,-1,0,0.6106562854008231,51.97796764063284,2.5,1,1,0,1,0,1
172,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1800000000000001,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3154341933302518,1,0.06920171071685025,0.97,110.08619259298361,Selective_Passage,0,0,1,0.02666666666666667,4,8,0,0.3884766577306413,40.08619259298361,2.5,1,1,0,0,0,0
173,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,149,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1400000000000001,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3139125247324671,1,0.055538170884768104,0.97,114.96449245657067,Ground_War,1,0,0,0.006711409395973154,1,-1,0,0.3990290293978398,44.96449245657067,2.5,1,1,0,0,0,0
