run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-severe-escalation,outcome-managed-stalemate,ever-managed-stalemate,ms-share,ms-duration,first-managed-stalemate-tick,military-deescalation-window-flag,awrp-current,risk-premium,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
194,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3155970829212483,0.6252226475018994,0.5888552176242055,0.97,115.20020484608665,Ground_War,1,0,0,0,0,-1,0,0.5600060577956545,45.20020484608665,2.5,1,1,0,0,0,0
195,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2876899507689949,0.5140582625518878,0.7304468334521306,0.98,119.66681780101668,Ground_War,1,0,0,0,0,-1,0,0.6179476458302142,49.66681780101668,2.5,1,1,0,0,0,0
196,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24709240193716284,0.2693874977457418,0.9922426199834113,0.98,124.93586272970256,Ground_War,1,0,0,0,0,-1,0,0.5789296853374255,54.935862729702556,2.5,1,1,0,1,0,1
197,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09500000000000008,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3145580831420536,1,0,0.97,114.76841113472958,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3964792374738993,44.76841113472958,2.5,1,1,0,0,0,0
198,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12500000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3278183581413296,1,0,0.97,110.4800908767429,Selective_Passage,0,0,0,0,0,-1,0,0.38621550181715103,40.4800908767429,2.5,1,1,0,0,0,0
199,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.314267406993007,1,0.09529036385756989,0.97,111.05318208000679,Selective_Passage,0,0,0,0,0,-1,0,0.3858115782340945,41.053182080006785,2.5,1,1,0,0,0,0
200,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3198471281611059,1,0.09297392271868404,0.98,111.22856788197541,Selective_Passage,0,0,0,0,0,-1,0,0.3753949873574735,41.22856788197541,2.5,1,1,0,0,0,0
201,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,17,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2492052191568287,0.3342284009948556,1,0.97,122.97712044769817,Ground_War,1,0,0,0.058823529411764705,1,-1,0,0.5327075927606497,52.97712044769817,2.5,1,1,0,1,0,1
202,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.28033873854296515,0.46462352694528836,0.7712980303198826,0.97,116.77594650958034,Ground_War,1,0,0,0,0,-1,0,0.6038085247468956,46.775946509580336,2.5,1,1,0,0,0,0
203,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08500000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.301295209896511,1,0.9675855478998342,0.98,110.18716825006177,Selective_Passage,0,0,1,0.03333333333333333,5,90,0,0.37955482032166377,40.187168250061774,2.5,1,1,0,0,0,0
204,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1900000000000002,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31171415773342975,1,0.14520606626872373,0.97,111.18073352084537,Selective_Passage,0,0,0,0,0,-1,0,0.37667286220690804,41.18073352084536,2.5,1,1,0,0,0,0
205,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3095865592676074,1,0.7838233154533295,0.97,112.68499356875307,Selective_Passage,0,0,1,0.03333333333333333,5,11,0,0.3812834731922,42.684993568753065,2.5,1,1,0,0,0,0
206,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.315662291733312,1,0.06914140941787492,0.98,110.96498584861243,Selective_Passage,0,0,1,0.02666666666666667,4,59,0,0.379320242253887,40.96498584861243,2.5,1,1,0,0,0,0
207,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29996736488838366,0.9879854109912518,0.16828413053609384,0.9199999999999999,113.33647280504888,Selective_Passage,0,0,0,0,0,-1,0,0.4030452800739042,43.33647280504889,2.5,1,1,0,0,0,0
208,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,107,0.9466666666666667,0.05333333333333334,0,0,0.05333333333333334,0.26500000000000007,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32251286495905124,1,0.04063269970230382,0.98,109.44571599760263,Selective_Passage,0,0,0,0,0,-1,0,0.37812672400845754,39.44571599760263,2.5,1,1,0,0,0,0
209,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3156224673541917,1,0.08918924095370812,0.97,111.33651932531826,Selective_Passage,0,0,0,0.02,3,-1,0,0.3711478596067307,41.336519325318264,2.5,1,1,0,0,0,0
210,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,25,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.25893536757972585,0.663643699668413,1,0.9099999999999999,118.83133006135643,Ground_War,1,0,0,0,0,-1,0,0.4559938385056485,48.831330061356425,2.5,1,1,0,1,0,0
211,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,54,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.32460352845051677,1,0,0.98,112.66013805768151,Accidental_War,1,0,0,0,0,-1,0,0.4090143653555725,42.6601380576815,2.5,1,1,0,0,0,0
212,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,84,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16000000000000003,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3128389718847543,1,0.07026354061713797,0.97,115.06841794232442,Ground_War,1,0,0,0,0,-1,0,0.4031111889413974,45.068417942324416,2.5,1,1,0,0,0,0
213,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16000000000000006,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29483527598746184,1,0.919334277142909,0.97,113.95205017631591,Selective_Passage,0,0,1,0.013333333333333334,2,1,0,0.37802081991935166,43.95205017631591,2.5,1,1,0,0,0,0
214,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3178584356228516,1,0,0.97,110.55866186524568,Selective_Passage,0,0,0,0,0,-1,0,0.37862016989571473,40.55866186524568,2.5,1,1,0,0,0,0
215,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32595091633616013,1,0,0.97,113.94911797215937,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.4001126364831928,43.94911797215937,2.5,1,1,0,0,0,0
216,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31810596970090765,1,0.2431894242165838,0.98,111.32208449856486,Selective_Passage,0,0,0,0,0,-1,0,0.3804142182783292,41.32208449856487,2.5,1,1,0,0,0,0
217,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000005,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2995784639708556,0.9881470257565176,0.09280036899879045,0.9099999999999999,111.5061572762796,Selective_Passage,0,0,0,0,0,-1,0,0.3961742654232927,41.5061572762796,2.5,1,1,0,0,0,0
218,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,40,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.095,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.28359373240003427,0.8487801028023508,0.9790338342591609,0.97,116.35810321114903,Accidental_War,1,0,0,0.025,1,-1,0,0.4100116451555318,46.358103211149036,2.5,1,1,0,0,0,0
219,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.30613868390508764,1,0.07480261700444771,0.9199999999999999,109.93073574355114,Selective_Passage,0,0,1,0.02,3,13,0,0.3717874827600479,39.93073574355114,2.5,1,1,0,0,0,0
220,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32318712333946326,1,0.00623840632123826,0.97,110.58670619704861,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3758719046703437,40.58670619704862,2.5,1,1,0,0,0,0
221,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,21,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.28543148614626707,0.8135523363862136,0.7827661941359516,0.97,118.10822300703136,Ground_War,1,0,0,0,0,-1,0,0.47969521001015264,48.108223007031356,2.5,1,1,0,0,0,0
222,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07500000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3113956942515051,1,0.2963358739551066,0.97,112.32721481542771,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.39723345499019724,42.3272148154277,2.5,1,1,0,0,0,0
223,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14000000000000004,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31727571123106707,1,0.07334730060420057,0.98,112.11149716185278,Selective_Passage,0,0,1,0.04,6,10,0,0.4014411011419753,42.111497161852775,2.5,1,1,0,0,0,0
224,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,22,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.26463648173289533,0.7335655115562143,0.9486647770913522,0.9099999999999999,116.93858788197531,Accidental_War,1,0,0,0,0,-1,0,0.4649567624719107,46.9385878819753,2.5,1,1,0,0,0,0
225,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,73,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,1,0,0,1,31,0.5342465753424658,0.4657534246575342,0,0,0.4657534246575342,0.35999999999999993,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3215417299325397,1,0,0.97,113.96730157540682,Ground_War,1,0,1,0.0410958904109589,3,30,0,0.40611293120603664,43.96730157540682,2.5,1,1,0,0,0,0
226,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.27623628544411905,0.3931617942230029,0.807125647113081,0.97,116.30015584709963,Ground_War,1,0,0,0,0,-1,0,0.5951509722199484,46.30015584709963,2.5,1,1,0,0,0,0
227,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,16,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2871667692549199,0.7463887919548887,0.759816190963633,0.98,117.20593012321038,Ground_War,1,0,0,0.0625,1,-1,0,0.5024884317751075,47.20593012321038,2.5,1,1,0,0,0,0
228,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3013759352567941,0.9622433223486638,0.29700541540316383,0.9399999999999998,110.76063781642935,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.39431040451302424,40.76063781642935,2.5,1,1,0,0,0,0
229,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31591406768792885,0.7159527410454625,0.5798970278573946,0.97,113.00792745958726,Ground_War,1,0,0,0,0,-1,0,0.5383078630243268,43.007927459587265,2.5,1,1,0,0,0,0
230,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,71,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2816717153720749,0.9779813753952651,1,0.9199999999999999,115.1186269169836,Ground_War,1,0,0,0.056338028169014086,4,-1,0,0.39746927442099445,45.1186269169836,2.5,1,1,0,1,0,0
231,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,2,10,0.66,0.34,0,0,0.34,0.39999999999999997,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32942030843889347,1,0,0.97,108.21001402213287,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3771595485619971,38.210014022132874,2.5,1,1,0,0,0,0
232,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.23983063179939323,0.2211664255304575,1,0.9604199999999999,124.27966987358384,Ground_War,1,0,0,0.09090909090909091,1,-1,0,0.600031186734667,54.27966987358384,2.5,1,1,0,1,0,1
233,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29249374437406245,1,0.46379813365108247,0.9099999999999999,110.79869720725648,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3849733869746018,40.798697207256474,2.5,1,1,0,0,0,0
234,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.125,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3200917115304068,1,0,0.98,111.49659298735793,Selective_Passage,0,0,0,0,0,-1,0,0.39384262944169135,41.49659298735793,2.5,1,1,0,0,0,0
235,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,10,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24603524936185314,0.37874663412040854,0.8635261553387088,0.9249999999999999,119.16300308094515,Ground_War,1,0,0,0,0,-1,0,0.5856923411471826,49.16300308094515,2.5,1,1,0,0,0,0
236,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3087329782173305,1,0.35623204112427853,0.97,109.93654670348948,Selective_Passage,0,0,1,0.013333333333333334,2,20,0,0.3751135909327372,39.93654670348948,2.5,1,1,0,0,0,0
237,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,107,0.7133333333333334,0.2866666666666667,0,0,0.2866666666666667,0.355,Active_Military_War | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.31855716176885884,1,0,0.97,107.72608086168162,Selective_Passage,0,0,1,0.03333333333333333,5,107,0,0.3710556656176922,37.726080861681616,2.5,1,1,0,0,0,0
238,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.135,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3148716735664988,1,0.014892586804049729,0.97,111.54817020826547,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3748347393247173,41.54817020826547,2.5,1,1,0,0,0,0
239,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15500000000000005,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3132050015969845,1,0.07323683708962353,0.97,110.87861517590642,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3832968361466872,40.87861517590641,2.5,1,1,0,0,0,0
240,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10000000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29675966858712627,1,0.9757616894647064,0.97,113.24548426621351,Selective_Passage,0,0,1,0.02,3,139,0,0.38385595750079227,43.2454842662135,2.5,1,1,0,0,0,0
241,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,17,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.26279916687260224,0.5049252569383319,0.9842813845079054,0.98,121.36728888156057,Ground_War,1,0,0,0.058823529411764705,1,-1,0,0.5136968754592425,51.36728888156056,2.5,1,1,0,0,0,1
242,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,110,0.8866666666666667,0.11333333333333333,0,0,0.11333333333333333,0.31,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29973150208127447,0.9897650928522406,0.09061693850227004,0.9099999999999999,112.20389498977164,Selective_Passage,0,0,0,0.02666666666666667,4,-1,0,0.3900466082840605,42.20389498977164,2.5,1,1,0,0,0,0
243,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,75,0.6066666666666667,0.3933333333333333,0,0,0.3933333333333333,0.3949999999999999,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29712997125960333,0.9852754991264613,0.1993398824170491,0.9099999999999999,110.9450196219389,Selective_Passage,0,0,0,0,0,-1,0,0.36923253778121357,40.9450196219389,2.5,1,1,0,0,0,0
244,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31843793835873707,1,0,0.97,110.16665669535506,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.36730844252810624,40.16665669535506,2.5,1,1,0,0,0,0
245,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3155533586575106,1,0.09625857648584843,0.97,110.47340432319967,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.3682176250837469,40.47340432319967,2.5,1,1,0,0,0,0
246,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,68,0.9266666666666666,0.07333333333333333,0,0,0.07333333333333333,0.3,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3251397656488517,1,0.4276462609150271,0.97,108.84992619184143,Selective_Passage,0,0,1,0.02,3,27,0,0.3843691799381562,38.84992619184143,2.5,1,1,0,0,0,0
