run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
34,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15000000000000005,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31931974494106624,1,0,0.97,112.03046261545235,Selective_Passage,0,0,0,0,0.38558758192141984,42.03046261545235,0.9727692394135882,0.21833833167225866,43.37090928120371,10.49,32.88090928120371,-11.436941667810807,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.47297297297297297,0.4765625,0.22486053121256042,1,-1,0,0,21,21,-1,-1,20,0,-1,-1,1,1,1,0,0,0,0
35,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3207745706795,1,0,0.98,111.62959293005042,Selective_Passage,0,0,0,0,0.37973044329471306,41.62959293005043,0.9602531052902157,0.21144758034672126,45.954606537059675,0.8,45.15460653705968,4.700018142678999,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4527027027027027,0.46153846153846156,0.12593609875475245,1,1,0,0,110,15,-1,-1,111,-95,-1,-1,1,1,1,0,0,0,0
36,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,112,0.98,0.02,0,0,0.02,0.2200000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33823934209804984,1,0,0.97,105.70447627152964,Selective_Passage,0,0,0,0,0.3750812111561248,35.70447627152964,0.804645135973266,0.20597789547779385,40.49154731795041,10.940000000000003,29.55154731795041,-7.6911611919740395,0.25,0.2,0,0,0,0,0,-1,1,1,0,1,1,3,0.4965986394557823,0.49572649572649574,0.35921157133512616,1,-11,0,0,32,18,-1,-1,21,-14,-1,-1,1,1,1,0,0,0,0
37,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.17000000000000007,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31497202003768,1,0,0.97,112.82051081217638,Selective_Passage,0,0,0,0,0.37651707544249347,42.82051081217638,0.9942495168650316,0.2076671475794041,46.61986916754383,0.8,45.819869167543835,3.9991444738232786,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.4527027027027027,0.4583333333333333,0.09123636459898012,1,125,0,0,5,13,-1,-1,130,8,-1,-1,1,1,1,0,0,0,0
38,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3193914429881779,1,0,0.98,113.88147161419728,Selective_Passage,0,0,0,0,0.3960938743619583,43.88147161419728,0.9726192422915216,0.23069867571995098,48.9660379989114,0.8,48.166037998911406,5.712755179618831,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.43243243243243246,0.4174757281553398,0.08644009752320181,1,0,0,0,46,15,-1,-1,46,-31,-1,-1,1,1,1,0,0,0,0
39,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.34643580117996264,1,0,0.98,110.30670377881,Ground_War,1,0,0,1,0.4406873468178396,40.306703778810004,0.7308236072172717,0.283161584491576,47.631909079935745,0.10000000000000002,47.531909079935744,9.633607068167656,0.25,0.2,0,0,0,0.07142857142857142,1,-1,0,0,1,0,1,0,0.25,0.23076923076923078,0,0,-1,0,0,0,12,-1,-1,-1,12,-1,-1,1,1,1,0,0,0,0
40,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,109,0.8266666666666667,0.17333333333333334,0,0,0.17333333333333334,0.28500000000000025,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3220774577643138,1,0,0.97,110.58688411854934,Selective_Passage,0,0,0,0,0.3894468823133326,40.586884118549335,0.930721892529918,0.22287868507450895,48.3336982412698,2.6500000000000026,45.683698241269795,6.795752163627277,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.47619047619047616,0.4697986577181208,0.2540136398691615,1,21,0,0,0,16,-1,-1,21,16,-1,-1,1,1,1,0,0,0,0
41,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3102472982117543,1,0,0.9399999999999998,110.13354293481055,Selective_Passage,0,0,0,0,0.36690365909247147,40.133542934810556,0.9997417390680191,0.19635724599114285,44.08641103954976,10.09,33.996411039549756,-7.671414869076003,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.46621621621621623,0.5066666666666667,0.17547415603126465,1,-33,0,0,74,15,-1,-1,41,-59,-1,-1,1,1,1,0,0,0,0
42,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2958796280903521,0.9027679484076778,0.48230991559166136,0.9609599999999999,116.8919155425812,Ground_War,1,0,0,1,0.49157964839878093,46.8919155425812,1,0.34303488046915404,53.67644792975914,0.30000000000000004,53.376447929759145,8.646043182903924,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,2,0,0.3333333333333333,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
43,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31482818865480383,1,0,0.97,109.83859030074657,Selective_Passage,0,0,0,0,0.38931188328602795,39.838590300746574,0.9955354708639954,0.2227198626894446,46.64185591521178,10.3,36.34185591521178,-4.370917981918495,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.47297297297297297,0.5068493150684932,0.15473001582341958,1,68,0,0,76,11,-1,-1,144,-65,-1,-1,1,1,1,0,0,0,0
