run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
24,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,10,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.318928251898216,1,0.10412999469139178,0.9500799999999998,114.44422800948489,Accidental_War,0,1,0,1,0.5016032462441944,44.44422800948489,0.9717488110620682,0.3548273485225817,54.57469867744457,0.4599999999999998,54.11469867744457,12.893960890612917,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,2,0,0.125,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
25,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09500000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3292584573141459,1,0,0.98,113.61802368325334,Selective_Passage,0,0,0,0,0.39716816052729265,43.61802368325334,0.929165492828924,0.23196254179681486,42.32453863614857,10.09,32.23453863614857,-14.22935630888096,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.47297297297297297,0.494949494949495,0.061249089538082856,0,-1,0,0,50,11,-1,-1,-1,-39,-1,-1,1,1,1,0,0,0,0
26,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3221758417499977,1,0,0.97,111.33214478285245,Selective_Passage,0,0,0,0,0.3943565036432919,41.33214478285245,0.9298422703133035,0.22865471016857872,45.51865879838506,1.2000000000000002,44.31865879838506,3.982018687376808,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.47619047619047616,0.5769230769230769,0.19701853338555553,1,-73,0,0,123,20,-1,-1,50,-103,-1,-1,1,1,1,0,0,0,0
27,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3173875766986473,1,0,0.97,114.12059849765285,Selective_Passage,0,0,0,0,0.40331910987389075,44.12059849765284,0.9899389524237108,0.2391989527928126,43.664964788710826,10.09,33.57496478871083,-13.182042136177515,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.46621621621621623,0.46616541353383456,0.09208170744848432,1,0,0,0,16,15,-1,-1,16,-1,-1,-1,1,1,1,0,0,0,0
28,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15000000000000008,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3175860860304027,1,0,0.97,110.6808378965294,Selective_Passage,0,0,0,0,0.3749415805128825,40.6808378965294,0.9881749506244657,0.205813624132803,43.63475377446646,10.39,33.24475377446646,-9.295105152578671,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,0,1,1,1,0.47297297297297297,0.46853146853146854,0.11457623931503504,0,-1,0,0,6,10,-1,-1,-1,4,-1,-1,1,1,1,0,0,0,0
29,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3266087401922529,1,0,0.98,109.8184827758094,Selective_Passage,0,0,0,0,0.4054321880583531,39.81848277580941,0.9080915153399893,0.24168492712747425,45.06276770214125,10.25,34.81276770214125,-6.257143842085192,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4797297297297297,0.5196078431372549,0.14780631590353674,1,11,0,0,47,16,-1,-1,58,-31,-1,-1,1,1,1,0,0,0,0
30,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1400000000000001,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3147065468395506,1,0,0.97,111.9293117992064,Selective_Passage,0,0,0,0,0.39018326697734684,41.92931179920641,0.996623034479378,0.22374501997334922,46.66045066028315,10.1,36.56045066028315,-6.71107642365407,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4594594594594595,0.5,0.09848619317210476,1,6,0,0,65,16,-1,-1,71,-49,-1,-1,1,1,1,0,0,0,0
31,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3201625734528166,1,0,0.98,110.04629953237455,Selective_Passage,0,0,0,0,0.3682239968956389,40.046299532374555,0.9657247921034208,0.19791058458310462,46.04815933706412,10.1,35.94815933706412,-5.122675244138044,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4797297297297297,0.5294117647058824,0.1194143558497284,0,-1,0,0,132,13,-1,-1,-1,-119,-1,-1,1,1,1,0,0,0,0
32,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,66,0.98,0.02,0,0,0.02,0.22000000000000008,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31600236850278907,1,0,0.97,112.65083533106773,Selective_Passage,0,0,0,0,0.37497177152299466,42.650835331067725,0.98503747494109,0.20584914296822898,46.46236521215238,0.8,45.66236521215238,4.0153731747795405,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0.5212765957446809,0.05670829421567488,1,19,0,0,55,16,-1,-1,74,-39,-1,-1,1,1,1,0,0,0,0
33,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,30,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3010024385229947,1,0.06252034884952454,0.9099999999999999,114.4733022972668,Accidental_War,0,1,0,1,0.40535282427213093,44.473302297266805,1,0.24159155796721288,52.87789758203422,0.8,52.077897582034225,10.139460379689893,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,2,0.35714285714285715,0,0.12953006105305712,0,-1,0,0,-1,15,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
