run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
67,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2941187297371196,1,0.9531272525410511,0.97,111.5147866758152,Selective_Passage,0,0,0,0,0.37836556686888634,41.514786675815195,1,0.20984184337516035,47.56701335104098,1.7500000000000002,45.81701335104098,5.736302233634376,0.25,0.2,0,0,0,0.02666666666666667,4,-1,0,0,1,0,2,0,0.4797297297297297,0.5333333333333333,0.23407174237290615,1,-53,0,0,89,32,-1,-1,36,-57,-1,-1,2.5,1,1,0,0,0,0
68,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24606379495134909,0.2866079758572193,1,0.97,125.40410461353326,Ground_War,1,0,0,1,0.5985607113279311,55.404104613533264,1,0.4688949545034483,60.58659651107032,0,60.58659651107032,6.909989196716076,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,4,0,0.1111111111111111,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,1,0,1
69,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3036416255844139,0.5288012194443266,0.6936232278175843,0.97,115.53049186857282,Accidental_War,0,1,0,1,0.5978096781680109,45.530491868572824,0.8130314162128598,0.46801138608001275,53.27583396982811,0.7199999999999999,52.555833969828115,9.367122801673723,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,4,0,0.2857142857142857,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,0,0,0
70,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2497450275930942,0.31203958856190817,0.9998377657591859,0.98,123.25404681784747,Ground_War,1,0,0,1,0.5458726107144654,53.25404681784746,1,0.40690895378172404,60.505609392951925,0.10000000000000002,60.405609392951924,9.535416766805952,0.25,0.2,0,0,0,0.07142857142857142,1,-1,0,0,1,0,4,0,0.18181818181818182,0.15384615384615385,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,1,0,1
71,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31421827099460076,1,0.3255348890787524,0.97,112.57703379286252,Selective_Passage,0,0,0,0,0.3778301286384762,42.57703379286252,0.9392740792626909,0.20921191604526615,45.96983120108413,0.8,45.169831201084136,3.457063210962147,0.25,0.2,0,1,0,0.02666666666666667,4,117,0,0,1,0,1,0,0.4557823129251701,0.44966442953020136,0.18470741233507212,1,35,0,0,0,27,-1,-1,35,27,-1,-1,2.5,1,1,0,0,0,0
72,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32691882402841826,1,0,0.97,111.36798687864567,Selective_Passage,0,0,0,0,0.39288568362437715,41.36798687864567,0.8874366637899807,0.2269243336757378,50.3936240218022,0.9,49.4936240218022,10.834182857542046,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.46621621621621623,0.4528301886792453,0.11024782998819624,1,3,0,0,96,22,-1,-1,99,-74,-1,-1,2.5,1,1,0,0,0,0
73,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3115111165706189,1,0.25724114415158394,0.98,113.246070841523,Selective_Passage,0,0,0,0,0.39649432576903276,43.246070841523,0.9943074727200385,0.2311697950223915,49.56594576576248,0.4000000000000001,49.16594576576248,7.893166565652642,0.25,0.2,0,1,0,0.02,3,56,0,0,1,0,1,0,0.4864864864864865,0.48936170212765956,0.1727699523989478,1,-21,0,0,55,29,-1,-1,34,-26,-1,-1,2.5,1,1,0,0,0,0
74,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,54,0.78,0.22,0,0,0.22,0.3,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32715066139019544,1,0,0.98,110.42928463252517,Selective_Passage,0,0,0,0,0.36482662672479116,40.429284632525174,0.9243916504367812,0.1939136784997543,42.43118391902787,10.290000000000001,32.141183919027874,-10.360125891871625,0.25,0.2,0,0,0,0.013333333333333334,2,-1,0,0,0,1,1,1,0.4797297297297297,0.4930555555555556,0.1470669878294379,1,50,0,0,5,22,-1,-1,55,17,-1,-1,2.5,1,1,0,0,0,0
75,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10500000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31104731621866694,1,0.689930928583006,0.98,112.91187016504742,Selective_Passage,0,0,0,0,0.38514625156678056,42.91187016504742,0.9355576122506862,0.21781911949033006,43.24971913399342,10.09,33.15971913399342,-12.190188788817494,0.25,0.2,0,1,0,0.02666666666666667,4,69,0,0,0,1,2,1,0.4391891891891892,0.4691358024691358,0.19591568971217985,1,-41,0,0,68,29,-1,-1,27,-39,-1,-1,2.5,1,1,0,0,0,0
76,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,15,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.25492610715028713,0.38683949108107973,0.9882041311709834,0.98,125.11502426896865,Ground_War,1,0,0,1,0.5628541064493782,55.11502426896865,1,0.426887184058092,60.39162564269368,0,60.39162564269368,7.035468498300048,0.25,0.2,0,0,0,0.06666666666666667,1,-1,0,0,1,0,4,0,0.16666666666666666,0.14285714285714285,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,0,0,1
