run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,awrp-peak-value,risk-premium-peak-value,outcome-tau-c-leads-frac-deescalation
219,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.25,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,103,0.9466666666666667,0.05333333333333334,0,0,0.05333333333333334,0.31,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32289981081475805,1,0,0.98,110.77567191003072,Selective_Passage,0,0,0,0,0.36142787993594766,40.77567191003073,0.9624083860008744,0.18991515286582078,43.08032899773948,10.19,32.89032899773948,-9.387312990822913,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,1,1,0.5,0.5135135135135135,0.17932340640885985,1,0,0,0,75,24,-1,-1,75,-51,-1,-1,2.5,1.25,1,0,0,0,0,0.6441768467904001,49.68543300547098,1
220,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.25,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.32040402845730676,0.9957583311689319,0.32357908462944085,0.97,117.52297105182494,Accidental_War,0,1,0,1,0.5362411549750195,47.52297105182494,0.881838085819708,0.3955778293823758,50.62327308194391,0,50.62327308194391,4.133736040158624,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,2,0,0.14285714285714285,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,0,0.6296473288542035,47.52297105182494,0
221,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.5,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3217027011972829,0.8206682439769782,0.4647119014715117,0.97,114.93958769422957,Accidental_War,0,1,0,1,0.5325366674988308,44.93958769422958,0.7402030466578615,0.39121960882215384,49.862994864409735,0,49.862994864409735,6.564542893573538,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,2,0,0.1111111111111111,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,0,0,0,0.6441768467904001,44.93958769422958,0
222,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.5,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31816385982167983,1,0,0.98,115.30535492717436,Selective_Passage,0,0,0,0,0.37244945447640865,45.30535492717436,0.9835947015442403,0.20288171114871606,49.15369218663803,0,49.15369218663803,5.131116345951554,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,1,0,0.44594594594594594,0,0.03338471060296827,0,-1,0,0,-1,12,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,0,0.654661599907769,46.87009963957382,0
223,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.75,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2544089659892476,0.3930599681514821,0.9376180904437553,0.97,124.20328344640177,Ground_War,1,0,0,1,0.5540690462988862,54.20328344640177,1,0.41655181917516027,58.476463619542706,0.10000000000000002,58.376463619542704,5.56424023085458,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,4,0,0.1,0,0.0016587116852863637,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,0,0,1,0.6441768467904001,54.29334044463051,0
224,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.75,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3232188871791716,1,0,0.97,114.1442619593092,Ground_War,1,0,0,1,0.4446483160602398,44.14426195930921,0.9205167085761788,0.28782154830616447,50.959213924819416,0.10000000000000002,50.859213924819414,8.953269287346934,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,2,0,0.1111111111111111,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,0,0.6106844159400001,44.14426195930921,0
225,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0,0.6,0.6,0.6,0.72,22,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.22175292000000002,0.1,1,0.9099999999999999,127.37617882733713,Ground_War,1,0,0,1,0.5213629368989475,57.376178827337135,1,0.3780740434105265,61.12143576,0,61.12143576,4.993675910217149,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,4,0,0.15,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,1,1,0,1,0.6520400723600832,57.376178827337135,0
226,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3067148156138625,1,0.37767858661105624,0.97,118.95735774468426,Accidental_War,0,1,0,1,0.5106336213458067,48.957357744684266,0.996474927004834,0.36545131923036084,52.59426683907771,0.8,51.794266839077714,3.7825454591912617,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,2,2,0.1111111111111111,0,0.03178173333467004,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,0,0.6296191635005751,50.56438143157513,0
227,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.25,0.6,0.6,0.6,0.72,13,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24252832245642186,0.23301422593411697,1,0.97,123.89951778136617,Ground_War,1,0,0,1,0.5699329022415676,53.899517781366164,1,0.4352151791077265,59.93572510122558,0.8,59.13572510122558,6.981609759812557,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,4,3,0.2727272727272727,0,0.036658379047270435,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,1,0,1,0.6574595734173811,55.95057517400774,0
228,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.25,0.6,0.6,0.6,0.72,22,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2985752477290087,1,0.7429537950854269,0.97,120.65211060562876,Accidental_War,0,1,0,1,0.46640199529321086,50.652110605628764,1,0.3134141121096598,52.979839595381634,0,52.979839595381634,3.103638653003827,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,3,0,0.25,0,0.01938865509126358,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,1,0.6476356761862585,51.65360452804353,0
