run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,outcome-tau-c-leads-frac-deescalation
385,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.25,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,131,0.8733333333333333,0.12666666666666668,0,0,0.12666666666666668,0.32,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.29780362492204404,0.9401724988639376,0.9820707547401681,0.98,108.84535258790869,Selective_Passage,0,0,0,0,0.36496835624724233,38.84535258790869,0.9667649753865009,0.1940804191144027,44.53810645488314,12.49,32.04810645488314,-8.496557666281937,0.25,0.2,0,1,0,0.04,6,122,0,0,0,1,2,1,0.5337837837837838,0.5428571428571428,0.20915584343014515,1,67,0,0,9,37,-1,-1,76,28,-1,-1,4,1,1,0,0,0,0,0
386,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2873230043368171,0.3900685907515286,0.78804949526244,0.98,116.7797129252204,Ground_War,1,0,0,1,0.586734965433937,46.779712925220394,0.8558773326157822,0.45498231227522,58.12490119778021,0.6299999999999993,57.49490119778021,14.286917696746421,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,4,0,0.14285714285714285,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,0,0,0,0
387,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.6,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,49,0.8733333333333333,0.12666666666666668,0,0,0.12666666666666668,0.3,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31605214720371594,1,0,0.97,114.10506269110962,Selective_Passage,0,0,0,0,0.3974656661169288,44.10506269110962,0.9845924182487316,0.23231254837285742,49.25475580372821,0.30000000000000004,48.95475580372821,6.466257483491454,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4391891891891892,0.44,0.13910971320872476,1,-28,0,0,49,17,-1,-1,21,-32,-1,-1,1.6666666666666667,1,1,0,0,0,0,1
388,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.8,1,0,0.6,0.6,0.6,0.72,15,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3189321548978005,1,0.15736694552727448,0.98,117.88856618686523,Ground_War,1,0,0,1,0.486183888259671,47.88856618686524,0.9468921785748444,0.3366869273643188,51.46631250862045,0,51.46631250862045,4.770328429006945,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,2,0,0.23076923076923078,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.25,1,1,0,0,0,0,0
389,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,22,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.33333225910199366,1,0,0.97,112.94481359289318,Accidental_War,0,1,0,1,0.43491484551541426,42.944813592893176,0.8300960312031181,0.27637040648872263,49.41323590463494,0,49.41323590463494,8.624563082322346,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.3,0,0.028926638842751335,0,-1,0,0,-1,16,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0
390,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3186222401283618,1,0,0.97,112.40599575943006,Ground_War,1,0,0,1,0.4513643163745209,42.405995759430056,0.9616139749627909,0.29572272514649517,51.66187920414741,0.9,50.76187920414741,11.141177926289814,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,2,0.4,0,0,0,-1,0,0,-1,10,-1,-1,-1,-1,-1,-1,0.7142857142857143,1,1,0,0,0,0,0
391,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.25,1,0,0.6,0.6,0.6,0.72,41,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.08000000000000002,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2613897416551735,0.6705296758303034,1,0.9199999999999999,121.29148935132348,Accidental_War,0,1,0,1,0.45383627618475814,51.29148935132348,1,0.29863091315853896,56.51845279550089,0,56.51845279550089,6.969284592236548,0.25,0.2,0,1,0,0.07317073170731707,3,15,0,0,1,0,3,0,0.38461538461538464,0.38461538461538464,0,0,-1,0,0,14,-1,-1,-1,-1,-1,-1,-1,4,1,1,0,1,0,1,0
392,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15500000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31292942894687187,1,0.6029324277895514,0.97,109.03937750357012,Selective_Passage,0,0,0,0,0.3651908243338784,39.03937750357012,0.9152519743091926,0.1943421462751511,42.92608846566537,10.74,32.18608846566537,-8.566611297380938,0.25,0.2,0,0,0,0.013333333333333334,2,-1,0,0,0,1,1,1,0.4557823129251701,0.4411764705882353,0.31476465493319056,1,-77,0,0,115,34,-1,-1,38,-81,-1,-1,2.5,1,1,0,0,0,0,1
393,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.6,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16500000000000004,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,116.78831224907897,Selective_Passage,0,0,0,0,0.4154306834151608,46.78831224907897,1,0.25344786284136567,49.51818872,0,49.51818872,3.6398352945613652,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4797297297297297,0.509090909090909,0,1,2,0,0,39,23,-1,-1,41,-16,-1,-1,1.6666666666666667,1,1,0,0,0,0,1
394,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.8,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.135,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3261566790904139,1,0,0.97,108.98973503096963,Selective_Passage,0,0,0,0,0.3711115761339368,38.98973503096962,0.9120145936036312,0.20130773662816093,42.330400438887644,10.19,32.140400438887646,-8.561668240102463,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,0,1,1,1,0.5,0.49664429530201343,0.28831070881146686,1,22,0,0,0,22,-1,-1,22,22,-1,-1,1.25,1,1,0,0,0,0,0
395,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3260421474773175,1,0,0.98,111.68671894135282,Selective_Passage,0,0,0,0,0.38095567215156867,41.68671894135282,0.9584642756747511,0.21288902606066906,42.82056720865278,10.29,32.53056720865278,-11.445189665875048,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4594594594594595,0.4603174603174603,0.10806341148475893,1,10,0,0,23,15,-1,-1,33,-8,-1,-1,1,1,1,0,0,0,0,1
396,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3174572964643426,1,0,0.97,112.7023697399047,Selective_Passage,0,0,0,0,0.38441462883722544,42.7023697399047,0.9893194057704537,0.216958386867324,43.654354180051236,10.09,33.56435418005124,-11.422519449816818,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.48299319727891155,0.4878048780487805,0.22371332800570615,1,-90,0,0,108,14,-1,-1,18,-94,-1,-1,0.7142857142857143,1,1,0,0,0,0,1
397,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.25,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10500000000000004,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29458868996276255,0.994844046042616,1,0.97,112.44437192516872,Selective_Passage,0,0,0,0,0.3697815953310536,42.44437192516873,0.9999156607850949,0.19974305333065123,44.77716493904345,10.540000000000001,34.23716493904345,-10.259008732656596,0.25,0.2,0,1,0,0.04,6,15,0,0,0,1,2,1,0.5067567567567568,0.5185185185185185,0.15358987158009327,1,89,0,0,14,38,-1,-1,103,24,-1,-1,4,1,1,0,1,0,0,0
398,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,122,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3063121034916887,1,0.37807661329519493,0.97,113.37863512279257,Ground_War,1,0,0,1,0.4004282779054932,43.37863512279257,1,0.23579797400646255,52.654891653349075,0.900000000000001,51.75489165334908,11.168342040742004,0.25,0.2,0,0,0,0.00819672131147541,1,-1,0,0,0,1,1,2,0.5,0.504424778761062,0.11453441644297488,1,45,0,0,8,24,-1,-1,53,16,-1,-1,2.5,1,1,0,0,0,0,0
399,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.6,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10500000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3345168219678179,1,0,0.97,107.85196042455402,Selective_Passage,0,0,0,0,0.3633707927496125,37.85196042455402,0.837724347662653,0.19220093264660296,41.05807538836855,10.19,30.868075388368553,-8.729856295231833,0.25,0.2,0,0,0,0.013333333333333334,2,-1,0,0,0,1,1,1,0.48299319727891155,0.47651006711409394,0.17747251529574942,1,43,0,0,0,27,-1,-1,43,27,-1,-1,1.6666666666666667,1,1,0,0,0,0,0
400,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.8,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10000000000000003,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32651652806662457,1,0.03819162462778833,0.9199999999999999,106.39289940339634,Selective_Passage,0,0,0,0,0.3598840442158473,36.39289940339634,0.7943807374719967,0.18809887554805563,43.65662696585453,0.8,42.85662696585453,8.618303416610914,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0.5254237288135594,0.20186947338857308,1,42,0,0,90,17,-1,-1,132,-73,-1,-1,1.25,1,1,0,0,0,0,1
401,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,110.1125812176468,Selective_Passage,0,0,0,0,0.37857080745005023,40.1125812176468,1,0.210083302882412,49.51818872,1.7500000000000002,47.76818872,10.207476669804265,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.4897959183673469,0.48322147651006714,0.1607508420088148,1,27,0,0,0,21,-1,-1,27,21,-1,-1,1,1,1,0,0,0,0,0
