tau-c-rate,ratio,n,ever_MS,lo,hi,operator_caution_end,insurance_end,awrp_end,risk_premium_end,op_caut_ceiling_hit
0.25,4.0,100,0.45,0.3561437510640346,0.5475557296835656,0.960148359108116,0.7601281385824566,0.4479675306776276,45.692094241785654,0.68
0.4,2.5,100,0.15,0.09305903191162296,0.23283733332157835,0.4072304397777609,0.866607626315278,0.42920722978508524,43.546447699359625,0.13
0.6,1.666666666666667,100,0.02,0.005501852234968185,0.07001316294199365,0.15529098013886755,0.946771030338628,0.4133059071939666,42.53668127626283,0.03
0.8,1.25,100,0.01,0.001767386565547261,0.0544875247609346,0.11290543128376938,0.9610724920576795,0.4212324534667512,42.82282086980656,0.01
1.0,1.0,100,0.04,0.01566305055184801,0.09837217232607375,0.050383600454818295,0.9916232249629683,0.4179530250567134,42.3604658535524,0.01
1.4,0.7142857142857143,100,0.02,0.005501852234968185,0.07001316294199365,0.018482375975722807,0.9978866312158213,0.41497141999066833,41.4583832787346,0.0
