experiment,n_runs,crisis_Selective_Passage,crisis_Ground_War,crisis_Accidental_War,crisis_Managed_Stalemate,ever_MS,severe_escalation,ever_backchannel,ever_ceasefire_talks,mean_throughput,mean_insurance,mean_operator_caution,mean_awrp,mean_risk_premium,mean_ms_share,mean_ms_duration
baseline,100,0.68,0.24,0.08,0.0,0.25,0.32,0.14,0.0,0.3033,0.8571,0.3723,0.4296,43.4972,0.0151,1.46
neutral_counterfactual,100,0.65,0.27,0.08,0.0,0.03,0.35,0.18,0.0,0.3215,0.9964,0.0426,0.4091,41.8403,0.0076,0.25
